"Designator;Val;Package;Mid X;Mid Y;Rotation;Layer"
"R4;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";90.000000;-75.000000;0.000000;top"
"R5;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";85.000000;-93.000000;180.000000;top"
"R6;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";119.000000;-93.000000;90.000000;top"
"R7;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";110.000000;-75.000000;0.000000;top"
"R8;""10"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";103.000000;-73.000000;180.000000;top"
"R9;""10"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";101.000000;-91.000000;180.000000;top"
"R10;""2.2"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";98.000000;-128.000000;180.000000;top"
"R13;""12k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";85.000000;-147.000000;-90.000000;top"
"R14;""5k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";58.000000;-132.000000;-90.000000;top"
"R15;""1M"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";146.000000;-129.000000;90.000000;top"
"R16;""1M"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";143.000000;-129.000000;90.000000;top"
"R23;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";91.500000;-139.000000;180.000000;top"
"R24;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";91.500000;-137.000000;180.000000;top"
"R27;""100"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";67.000000;-119.000000;90.000000;top"
"R28;""1k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";71.000000;-119.000000;90.000000;top"
"R29;""330"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";69.000000;-119.000000;90.000000;top"
"R30;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";89.000000;-143.500000;0.000000;top"
"R31;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";89.000000;-145.500000;180.000000;top"
"R38;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";116.000000;-144.000000;-90.000000;top"
"R39;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";113.000000;-144.000000;-90.000000;top"
"R40;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";56.000000;-126.050000;0.000000;top"
"R41;""10k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";56.000000;-128.000000;0.000000;top"
"R42;""GMR100HTBFER015"";""R_2512_6332Metric_Pad1.40x3.35mm_HandSolder"";72.000000;-73.000000;0.000000;top"
"R43;""1M"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";146.000000;-133.000000;90.000000;top"
"R44;""1M"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";143.000000;-133.000000;90.000000;top"
"R45;""40k"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";144.000000;-136.000000;0.000000;top"
"R46;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";109.000000;-140.000000;90.000000;top"
"R47;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";112.000000;-139.950000;90.000000;top"
"R48;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";84.000000;-133.000000;180.000000;top"
"R49;""0"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";84.000000;-135.000000;180.000000;top"
"TP1;""575-4"";""5754"";56.000000;-66.000000;0.000000;top"
"TP2;""575-4"";""5754"";56.000000;-77.000000;0.000000;top"
"TP3;""575-4"";""5754"";143.500000;-108.800000;0.000000;top"
"TP4;""575-4"";""5754"";143.500000;-120.500000;0.000000;top"
"U1;""ESP32-WROOM-32"";""ESP32-WROOM-32"";70.000000;-139.885000;180.000000;top"
"U2;""IR2110S"";""SOIC-16W_7.5x10.3mm_P1.27mm"";89.000000;-108.000000;-90.000000;top"
"U3;""IR2110S"";""SOIC-16W_7.5x10.3mm_P1.27mm"";89.000000;-123.000000;-90.000000;top"
"U4;""INA228"";""VSSOP-10_3x3mm_P0.5mm"";69.000000;-80.000000;0.000000;top"
"U5;""LD1086DT33TR"";""TO-252-2"";56.000000;-110.000000;180.000000;top"
"U6;""LD1086DT50TR"";""TO-252-2"";56.000000;-102.000000;180.000000;top"
"U7;""CH340G"";""SOIC-16_3.9x9.9mm_P1.27mm"";100.250000;-137.745000;90.000000;top"
"U8;""3544-2"";""3544-2"";65.000000;-69.000000;90.000000;top"
